source,target,rank,date,time
4S4_vVvBLvY,QUB-lEMRIxI,1,29/07/2023,10:40:13
4S4_vVvBLvY,JOy0jQbvpPQ,2,29/07/2023,10:40:14
4S4_vVvBLvY,ZY3s7HWC-Xo,3,29/07/2023,10:40:14
4S4_vVvBLvY,3arWM5Llf44,4,29/07/2023,10:40:15
4S4_vVvBLvY,L6MWeO_z7dk,5,29/07/2023,10:40:15
L6MWeO_z7dk,uUhMp24ifHY,1,29/07/2023,10:41:08
L6MWeO_z7dk,FeOQcC1DPiw,2,29/07/2023,10:41:10
L6MWeO_z7dk,m9fRIveHfRo,3,29/07/2023,10:41:10
L6MWeO_z7dk,YlYfIviLNqg,4,29/07/2023,10:41:10
L6MWeO_z7dk,qTKwmoZWyzA,5,29/07/2023,10:41:11
YlYfIviLNqg,JOy0jQbvpPQ,1,29/07/2023,10:41:17
YlYfIviLNqg,ORsGii1VQPg,2,29/07/2023,10:41:17
YlYfIviLNqg,SvYV0vEpsnw,3,29/07/2023,10:41:18
YlYfIviLNqg,0epQ7xbvnho,4,29/07/2023,10:41:19
YlYfIviLNqg,OoyZdXOWF10,5,29/07/2023,10:41:19
OoyZdXOWF10,8mWh4NLIuOw,1,29/07/2023,10:42:22
OoyZdXOWF10,4S4_vVvBLvY,2,29/07/2023,10:42:22
OoyZdXOWF10,Ms0DgzwbusM,3,29/07/2023,10:42:22
OoyZdXOWF10,VmhDj0CjNZw,4,29/07/2023,10:42:23
OoyZdXOWF10,iUuFE06LxwY,5,29/07/2023,10:42:23
Ms0DgzwbusM,eHSWAE85430,1,29/07/2023,10:42:31
Ms0DgzwbusM,o1QrWoZ9gE4,2,29/07/2023,10:42:31
Ms0DgzwbusM,I4tPUWJlhRg,3,29/07/2023,10:42:32
Ms0DgzwbusM,t35Hl3No2X8,4,29/07/2023,10:42:32
Ms0DgzwbusM,SulwjJoD7l0,5,29/07/2023,10:42:33
eHSWAE85430,S530Vwa33G0,1,29/07/2023,10:43:45
eHSWAE85430,C1WGRopidR0,2,29/07/2023,10:43:45
eHSWAE85430,CINVpqWxf1c,3,29/07/2023,10:43:45
eHSWAE85430,w8h2nZU0Wi0,4,29/07/2023,10:43:46
eHSWAE85430,gOdFt4cSMyw,5,29/07/2023,10:43:46
C1WGRopidR0,2-E7Q5zUsR0,1,29/07/2023,10:46:29
C1WGRopidR0,DsRaqtYQVlk,2,29/07/2023,10:46:29
C1WGRopidR0,iUYPTLbjmwM,3,29/07/2023,10:46:29
C1WGRopidR0,bDjTW9j9OEY,4,29/07/2023,10:46:30
C1WGRopidR0,QP12WBVnqUE,5,29/07/2023,10:46:30
iUYPTLbjmwM,cklmy7rGqPM,1,29/07/2023,10:48:28
iUYPTLbjmwM,PVTgntwNZec,2,29/07/2023,10:48:29
iUYPTLbjmwM,3arWM5Llf44,3,29/07/2023,10:48:30
iUYPTLbjmwM,VF_D5T5VlyI,4,29/07/2023,10:48:30
iUYPTLbjmwM,jJD33Hjjjz8,5,29/07/2023,10:48:30
3arWM5Llf44,Ppvb9LEeFoM,1,29/07/2023,10:50:09
3arWM5Llf44,VhD4BSHt1lg,2,29/07/2023,10:50:09
3arWM5Llf44,vqjj3PHA9eE,3,29/07/2023,10:50:10
3arWM5Llf44,A-hhFwe9lbI,4,29/07/2023,10:50:11
3arWM5Llf44,JgN2olNpabM,5,29/07/2023,10:50:11
vqjj3PHA9eE,LhpWblFriGQ,1,29/07/2023,10:51:53
vqjj3PHA9eE,MYaAU_6XAHM,2,29/07/2023,10:51:53
vqjj3PHA9eE,nQXW6E5QxSM,3,29/07/2023,10:51:54
vqjj3PHA9eE,Z4ljZgHXXZ4,4,29/07/2023,10:51:54
vqjj3PHA9eE,lxHlW3nKFBw,5,29/07/2023,10:51:54
nQXW6E5QxSM,8Eya7D1cmqo,1,29/07/2023,10:54:10
nQXW6E5QxSM,1BfSHiNgAqw,2,29/07/2023,10:54:11
nQXW6E5QxSM,LQnmibPve3Q,3,29/07/2023,10:54:12
nQXW6E5QxSM,#NAME?,4,29/07/2023,10:54:12
nQXW6E5QxSM,lAWVs294N4o,5,29/07/2023,10:54:12
lAWVs294N4o,xocLMUd_GDw,1,29/07/2023,10:56:19
lAWVs294N4o,uT1ndSZLa8Y,2,29/07/2023,10:56:20
lAWVs294N4o,FlZT14c6sCw,3,29/07/2023,10:56:20
lAWVs294N4o,SnjCBg822Zw,4,29/07/2023,10:56:20
lAWVs294N4o,68jvgqc6DzU,5,29/07/2023,10:56:21
68jvgqc6DzU,wZOGyqf_edk,1,29/07/2023,10:58:04
68jvgqc6DzU,i9i3WIqz9hM,2,29/07/2023,10:58:05
68jvgqc6DzU,hLNA-ejHtLk,3,29/07/2023,10:58:05
68jvgqc6DzU,bNU9PP6Bqi0,4,29/07/2023,10:58:05
68jvgqc6DzU,X1ZwcRYvlo4,5,29/07/2023,10:58:06
i9i3WIqz9hM,GOa-fIyQh-o,1,29/07/2023,11:00:16
i9i3WIqz9hM,dcEoUshr3mk,2,29/07/2023,11:00:16
i9i3WIqz9hM,kPUdU1esFcg,3,29/07/2023,11:00:16
i9i3WIqz9hM,_jqKlZIdwVQ,4,29/07/2023,11:00:17
i9i3WIqz9hM,P2sOkUMPE7Y,5,29/07/2023,11:00:17
P2sOkUMPE7Y,#NAME?,1,29/07/2023,11:02:35
P2sOkUMPE7Y,lhIq3XMmi00,2,29/07/2023,11:02:35
P2sOkUMPE7Y,VdXTFfkHr7c,3,29/07/2023,11:02:36
P2sOkUMPE7Y,V5KFAFUElA8,4,29/07/2023,11:02:36
P2sOkUMPE7Y,bNU9PP6Bqi0,5,29/07/2023,11:02:36
VdXTFfkHr7c,nSnl22gaCEc,1,29/07/2023,11:05:02
VdXTFfkHr7c,n-nGOnv81LI,2,29/07/2023,11:05:02
VdXTFfkHr7c,dcEoUshr3mk,3,29/07/2023,11:05:03
VdXTFfkHr7c,7bjGXpEPvD0,4,29/07/2023,11:05:03
VdXTFfkHr7c,Z4ljZgHXXZ4,5,29/07/2023,11:05:04
dcEoUshr3mk,kPUdU1esFcg,1,29/07/2023,11:07:03
dcEoUshr3mk,gbZi11qNULY,2,29/07/2023,11:07:04
dcEoUshr3mk,WhURn3F-NXk,3,29/07/2023,11:07:04
dcEoUshr3mk,4ReMU60si2Y,4,29/07/2023,11:07:05
dcEoUshr3mk,gb0YLChUwtU,5,29/07/2023,11:07:05
WhURn3F-NXk,y8TGn2IJzWo,1,29/07/2023,11:09:14
WhURn3F-NXk,jJCcQ-g2HlE,2,29/07/2023,11:09:14
WhURn3F-NXk,b4vr4UQumjw,3,29/07/2023,11:09:15
WhURn3F-NXk,GOa-fIyQh-o,4,29/07/2023,11:09:15
WhURn3F-NXk,pkZTwM0d7dc,5,29/07/2023,11:09:15
b4vr4UQumjw,UStHf4emCv4,1,29/07/2023,11:11:33
b4vr4UQumjw,_ZofFz0QPeY,2,29/07/2023,11:11:34
b4vr4UQumjw,keHtEojFI3A,3,29/07/2023,11:11:35
b4vr4UQumjw,sIgcZAm08yU,4,29/07/2023,11:11:35
b4vr4UQumjw,_Hp8nKs4xZ4,5,29/07/2023,11:11:35
_Hp8nKs4xZ4,EuYRgbUrOrk,1,29/07/2023,11:13:21
_Hp8nKs4xZ4,cT5S4pIMPOQ,2,29/07/2023,11:13:21
_Hp8nKs4xZ4,X1qlYBk8iRU,3,29/07/2023,11:13:22
_Hp8nKs4xZ4,bwrWX-IODhI,4,29/07/2023,11:13:22
_Hp8nKs4xZ4,4Ssjtw1wu0U,5,29/07/2023,11:13:23
cT5S4pIMPOQ,IZBF66HU5tU,1,29/07/2023,11:15:35
cT5S4pIMPOQ,ZxUkvCWfQF4,2,29/07/2023,11:15:35
cT5S4pIMPOQ,SWjEKU695eY,3,29/07/2023,11:15:35
cT5S4pIMPOQ,dC-53xsUYKU,4,29/07/2023,11:15:36
cT5S4pIMPOQ,yhGMnNbOYTk,5,29/07/2023,11:15:36
ZxUkvCWfQF4,9T8Mt7R9gro,1,29/07/2023,11:17:36
ZxUkvCWfQF4,LK-MRim0MKA,2,29/07/2023,11:17:36
ZxUkvCWfQF4,n-JjYhZ-ZIQ,3,29/07/2023,11:17:37
ZxUkvCWfQF4,e0HTNIuayv4,4,29/07/2023,11:17:38
ZxUkvCWfQF4,yhGMnNbOYTk,5,29/07/2023,11:17:38
9T8Mt7R9gro,7U08G-z-RKU,1,29/07/2023,11:19:16
9T8Mt7R9gro,U1IzAF0g7c8,2,29/07/2023,11:19:16
9T8Mt7R9gro,W7-3gUx92Qg,3,29/07/2023,11:19:17
9T8Mt7R9gro,xvOeokfkrQc,4,29/07/2023,11:19:17
9T8Mt7R9gro,w27nhl_pmA8,5,29/07/2023,11:19:17
W7-3gUx92Qg,THepHoPU8k0,1,29/07/2023,11:21:33
W7-3gUx92Qg,eZBpVLhMRSw,2,29/07/2023,11:21:33
W7-3gUx92Qg,Jqj3hLPhELQ,3,29/07/2023,11:21:34
W7-3gUx92Qg,3BFlhjOdtlY,4,29/07/2023,11:21:34
W7-3gUx92Qg,fotJvEh6kxY,5,29/07/2023,11:21:34
3BFlhjOdtlY,HQWVotsMgwY,1,29/07/2023,11:23:39
3BFlhjOdtlY,XZhj7Zfjc0w,2,29/07/2023,11:23:39
3BFlhjOdtlY,e0f5dZsJWQs,3,29/07/2023,11:23:39
3BFlhjOdtlY,Fm-c1k-0fO4,4,29/07/2023,11:23:40
3BFlhjOdtlY,0i86_wGed58,5,29/07/2023,11:23:40
XZhj7Zfjc0w,WIdO2SkDh3s,1,29/07/2023,11:26:00
XZhj7Zfjc0w,i2Cdx471kck,2,29/07/2023,11:26:00
XZhj7Zfjc0w,DQU9_xjONa8,3,29/07/2023,11:26:01
XZhj7Zfjc0w,e3Ee_GUYqpw,4,29/07/2023,11:26:01
XZhj7Zfjc0w,SVBwR3OZDyQ,5,29/07/2023,11:26:02
e3Ee_GUYqpw,K4_UlTrXqRE,1,29/07/2023,11:27:41
e3Ee_GUYqpw,RP7oIKRTfN0,2,29/07/2023,11:27:41
e3Ee_GUYqpw,w0IXJNnJxps,3,29/07/2023,11:27:41
e3Ee_GUYqpw,W9d-EmXM0qs,4,29/07/2023,11:27:43
e3Ee_GUYqpw,bDjTW9j9OEY,5,29/07/2023,11:27:43
K4_UlTrXqRE,SsFvhVVIZXU,1,29/07/2023,11:29:47
K4_UlTrXqRE,EQ1IXO5vXaY,2,29/07/2023,11:29:47
K4_UlTrXqRE,H7cTFMbSwtA,3,29/07/2023,11:29:48
K4_UlTrXqRE,h5N7JCzQAQ0,4,29/07/2023,11:29:48
K4_UlTrXqRE,vb7-ZXFT0pI,5,29/07/2023,11:29:48
h5N7JCzQAQ0,gXTuruS1cJE,1,29/07/2023,11:32:05
h5N7JCzQAQ0,kwEz633cwQQ,2,29/07/2023,11:32:05
h5N7JCzQAQ0,Czo4afgQy8A,3,29/07/2023,11:32:06
h5N7JCzQAQ0,dgY7nYCCeuc,4,29/07/2023,11:32:06
h5N7JCzQAQ0,iEyUHmmKfsQ,5,29/07/2023,11:32:07
gXTuruS1cJE,RP7oIKRTfN0,1,29/07/2023,11:34:16
gXTuruS1cJE,Ey7EUDfVEaQ,2,29/07/2023,11:34:16
gXTuruS1cJE,s_jq-_6FFAo,3,29/07/2023,11:34:17
gXTuruS1cJE,FnbQ2WygUDQ,4,29/07/2023,11:34:17
gXTuruS1cJE,TDOk0tYxl0o,5,29/07/2023,11:34:18
Ey7EUDfVEaQ,KUwJgPZMScw,1,29/07/2023,11:36:33
